ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.87845899999996,79.208979,398609.23202708206,-1102440.6838076494,889.2325,6742.156740196227
334.87989500000003,79.209673,398611.07877873123,-1102359.388807846,889.8213,6823.472713317694
334.881331,79.21036600000001,398612.9588886807,-1102278.1972292576,890.2979,6904.686057338897
334.880254,79.209846,398611.5584498021,-1102339.1165357206,889.9605,6965.621458617606
334.88005899999996,79.20886800000001,398644.1417347836,-1102440.9566881037,889.2081,7072.547073404684
334.88149100000004,79.20956,398645.98384809674,-1102359.894837471,889.8075,7153.629852152508
334.882922,79.210252,398647.80294823635,-1102278.8406190514,890.2543,7234.704481038056
334.881845,79.209731,398646.4411398106,-1102339.862796315,889.9293,7295.741851887251
334.881654,79.208754,398679.06702882255,-1102441.5715007104,889.1961,7402.5552835502285
334.883084,79.209446,398680.868693987,-1102360.5233967174,889.802,7483.623410198343
334.884514,79.210137,398682.70375032315,-1102279.5787083243,890.2274,7564.588896739229
334.88343599999996,79.209616,398681.32417939714,-1102340.6079717774,889.9178,7625.633750851323
334.88325699999996,79.208641,398714.10943863867,-1102442.0268123406,889.1873,7732.220121671938
334.884681,79.20933199999999,398715.83084307535,-1102361.1230347818,889.7619,7813.142210476676
334.886104,79.21002299999999,398717.52926200203,-1102280.2268892676,890.2105,7894.056183224942
334.885027,79.2095,398716.2447297581,-1102341.4548027336,889.8717,7955.297569643701
334.884854,79.208529,398748.9995782611,-1102442.4200441549,889.1435,8061.4430362247285
334.886275,79.209218,398750.73561656167,-1102361.742460917,889.7462,8142.139295531376
334.887696,79.209907,398752.46792628954,-1102281.0655469347,890.2325,8222.834805609036
334.886619,79.209385,398751.14771075995,-1102342.1908473398,889.8672,8283.974361697186
334.886446,79.208416,398783.8310078504,-1102442.9497298647,889.1324,8389.901460762405
334.88786699999997,79.20910400000001,398785.60225416766,-1102362.3747204714,889.7611,8470.49593608325
334.889289,79.20979100000001,398787.4261842449,-1102281.8961560465,890.2532,8550.995166221312
334.888211,79.20926999999999,398786.0510412652,-1102342.9258055382,889.902,8612.040306366034
334.888044,79.208302,398818.8153897945,-1102443.539307836,889.1622,8717.854196660144
334.88946200000004,79.208989,398820.5641243292,-1102363.0877512796,889.7825,8798.324756648375
334.890881,79.209677,398822.2912155196,-1102282.5271626397,890.2518,8878.90385620894
334.889803,79.209154,398820.99189105514,-1102343.762414914,889.9209,8940.15289183545
334.889638,79.208189,398853.6859808944,-1102444.052901391,889.1583,9045.637891660937
334.891056,79.208875,398855.4699320464,-1102363.7039164752,889.7909,9126.00667825565
334.89247400000005,79.209561,398857.25017813535,-1102283.3555950944,890.2817,9206.374719322035
334.891396,79.20904,398855.87799019186,-1102344.3855012835,889.9237,9267.42004960371
334.891237,79.208076,398888.65311643475,-1102444.530600452,889.158,9372.79200881362
334.892652,79.208761,398890.4145632655,-1102364.3050708887,889.7994,9453.036873376172
334.894067,79.209447,398892.1351410098,-1102283.977468285,890.3295,9533.382900831379
334.892988,79.208924,398890.8195445602,-1102345.219935114,889.938,9594.639496699267
334.892842,79.207963,398923.7360377988,-1102444.965433314,889.2035,9699.675966262375
334.894251,79.208648,398925.38008008985,-1102364.781513474,889.8334,9779.876738552714
334.89566,79.209333,398927.02044754947,-1102284.5982558383,890.3678,9860.076773530716
334.89458199999996,79.208809,398925.76275475224,-1102345.936620731,889.9834,9921.42803104737
334.89443900000003,79.207851,398958.62818865955,-1102445.3521381484,889.2977,10026.135155204713
334.895848,79.208535,398960.3074551212,-1102365.2707914184,889.8677,10106.234106695603
334.897258,79.20921899999999,398962.0022902482,-1102285.183141741,890.369,10186.339687630765
334.89617599999997,79.208694,398960.7063143304,-1102346.6522174107,889.9995,10247.822423559439
334.89603700000004,79.207739,398993.5399130441,-1102445.7307926614,889.3342,10352.199668580555
334.897446,79.208423,398995.2172244506,-1102365.649284257,889.8666,10432.29874074665
334.89885499999997,79.209106,398996.928052082,-1102285.6711679383,890.3622,10512.29515329803
334.89776800000004,79.208579,398995.61174408207,-1102347.380652704,889.9812,10574.018675368694
334.897636,79.207627,399028.4712109341,-1102446.1013950068,889.3086,10678.064480294212
334.899046,79.20831,399030.20299224026,-1102366.1154922994,889.8271,10758.069128274175
334.90045499999997,79.208993,399031.9118673925,-1102286.137212344,890.3852,10838.065662692352
334.899362,79.208464,399030.55600230844,-1102348.094072665,889.9568,10900.037357125984
334.899236,79.207516,399063.3848954981,-1102446.361211584,889.277,11003.643181380017
334.900645,79.208198,399065.13266872306,-1102366.4848423572,889.826,11083.538669813906
334.902054,79.208881,399066.8395902982,-1102286.506399868,890.4283,11163.53532502059
334.90095499999995,79.208349,399065.4813702062,-1102348.813368637,889.969,11225.857095847537
