,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,ATM_elev_Sm,ATM_elev_SupSm
1987,78.941002,338.596563,480983.11504539294,-1101106.8920703523,237.3972,83362.62525937251,0.0475144,-0.0751801,237.3972,237.77505
1988,78.940915,338.598089,481016.2481825454,-1101102.7953616336,235.0716,83396.0107023062,0.019846400000000004,-0.043551199999999984,235.0716,236.2344
1989,78.94082900000002,338.599619,481049.41455618327,-1101098.5639263263,234.0806,83429.44591406043,0.013538499999999998,-0.0064843,234.0806,234.5761
1990,78.940744,338.601152,481082.59493963467,-1101094.206157413,233.24,83462.91123933728,0.049624,-0.027804900000000004,233.2713,233.67595
1991,78.940659,338.602686,481115.79465241905,-1101089.8390053215,233.2713,83496.39695190782,0.0754957,0.0567294,233.2556,233.26344999999998
1992,78.940575,338.604222,481148.98914557724,-1101085.35391376,233.2556,83529.8930773904,0.0991304,-0.0211815,233.24,233.24779999999998
1993,78.940492,338.605762,481182.21684550843,-1101080.7340862916,229.6459,83563.44039991473,0.08375729999999999,0.0014275,229.6459,231.44295
1994,78.94041,338.607302,481215.4008735133,-1101076.0131146172,227.9502,83596.95856347091,0.0905919,-0.0300399,227.9502,228.79805
1995,78.94032800000002,338.608847,481248.6810824291,-1101071.2491587712,224.5839,83630.57801588731,0.0491868,-0.11389280000000003,224.5839,226.26704999999998
1996,78.940248,338.610391,481281.8546134131,-1101066.2923052642,221.0971,83664.11983388574,0.0093566,-0.0667285,221.0971,222.84050000000002
1997,78.940168,338.61194,481315.12431290024,-1101061.2924617976,219.44299999999998,83697.76312948314,-0.0175098,-0.0248245,219.44299999999998,220.27005
1998,78.94009,338.613489,481348.30652926327,-1101056.091325407,219.3782,83731.35049768188,-0.0184277,0.0102984,219.393,219.418
1999,78.940012,338.61504,481381.5272505436,-1101050.8723972093,219.393,83764.97866346469,0.0147351,-0.0195348,219.3782,219.3856
2000,78.93993499999998,338.616594,481414.7619051056,-1101045.5271238766,218.4269,83798.6404253148,0.0440871,-0.0218387,218.4269,218.90255
2001,78.93986,338.61815,481447.9474764706,-1101039.9637601746,217.3019,83832.28909783707,0.07359860000000001,-0.0323951,217.3019,217.8644
2002,78.939785,338.619708,481481.1715344613,-1101034.3826000988,215.794,83865.97867155289,0.0822153,-0.0070238,215.794,216.54795000000001
2003,78.939711,338.6212680000001,481514.3902823448,-1101028.6834961358,209.7861,83899.68275137914,0.0036722,0.0637437,211.0034,213.39870000000002
2004,78.939638,338.622828,481547.565278345,-1101022.8832575218,211.0034,83933.36098066144,0.0843472,-0.07502339999999999,209.7861,210.39475
2005,78.939566,338.624392,481580.77337972674,-1101016.948267115,207.1503,83967.09526749991,0.1033654,-0.1210736,207.1503,208.4682
2006,78.939495,338.625955,481613.9184956685,-1101010.9205502542,203.6638,84000.78402053933,0.07937639999999999,-0.0667029,203.6638,205.40705
2007,78.939425,338.62752,481647.0582667288,-1101004.7748932359,199.4518,84034.48882028824,0.014604399999999997,-0.1199316,199.4518,201.5578
2008,78.939355,338.629088,481680.2557098757,-1100998.6030273454,196.1389,84068.25510761849,0.0244136,-0.0969583,196.1389,197.79534999999998
2009,78.939287,338.630655,481713.3463352228,-1100992.238303463,194.2235,84101.95227657908,0.0450066,-0.0229336,195.3286,195.73375
2010,78.939219,338.632227,481746.5330521821,-1100985.830553533,195.3286,84135.75194287479,0.0475224,0.0911309,194.8267,195.07765
2011,78.939152,338.633798,481779.65674669103,-1100979.3300861816,192.8906,84169.50746410771,0.0795904,-0.08835710000000001,194.2235,194.5251
2012,78.939086,338.635369,481812.73662640713,-1100972.728497493,192.1687,84203.23963592105,0.0255135,0.1026909,192.8906,193.55705
2013,78.939021,338.6369430000001,481845.8303295004,-1100966.0005616457,194.8267,84237.0103081855,0.1039769,0.0004158,192.4811,192.68585000000002
2014,78.93895699999999,338.6385160000001,481878.860985165,-1100959.1799185108,192.4811,84270.73782493973,0.0669818,-0.0886284,192.1687,192.3249
2015,78.93889399999998,338.6400930000001,481911.9246616773,-1100952.224518645,185.2998,84304.52516416322,-0.010794799999999998,-0.2247953,185.2998,188.73425
2016,78.93883199999998,338.641669,481944.92527367966,-1100945.1764163428,181.2788,84338.27003249308,-0.03814,-0.0454198,181.2788,183.2893
2017,78.938771,338.6432470000001,481977.9204582204,-1100938.0103806066,180.0962,84372.03442603194,0.009145,-0.0984166,180.0962,180.6875
2018,78.938711,338.644828,482010.9294210946,-1100930.7179988977,177.0222,84405.83931415515,0.0356287,-0.0903201,177.0222,178.5592
2019,78.938652,338.646409,482043.8945086217,-1100923.324509385,172.8382,84439.62334415218,-0.025400400000000004,-0.0413061,173.1126,175.0674
2020,78.93859499999998,338.647991,482076.7910841671,-1100915.7213780666,173.1126,84473.38711598617,0.006423399999999999,-0.0027945,172.8382,172.97539999999998
2021,78.938538,338.6495740000001,482109.7068220495,-1100908.1088555604,172.1322,84507.17167309807,0.08344860000000001,-0.1057398,172.1322,172.48520000000002
2022,78.938482,338.65116,482142.6363020622,-1100900.3699888254,169.8258,84540.99830036495,-0.0088935,-0.0449712,171.3765,171.75435
2023,78.938427,338.652744,482175.48344363703,-1100892.54685405,171.3765,84574.76420250522,0.060805999999999985,-0.0931781,169.8258,170.60115
2024,78.938374,338.654331,482208.3004555558,-1100884.4972587165,167.2963,84608.55402725047,0.06199270000000001,-0.08473860000000001,167.2963,168.56105
2025,78.938321,338.655919,482241.13660559384,-1100876.4382737873,165.1799,84642.36467627429,0.07729960000000001,-0.0623038,165.1799,166.2381
2026,78.93826899999998,338.657507,482273.928819967,-1100868.2781982708,162.3811,84676.1569262131,0.1173109,-0.0927018,162.3811,163.78050000000002
2027,78.938218,338.659098,482306.7347312007,-1100859.9917822636,158.2684,84709.99318638053,0.07822080000000001,-0.0026328,158.2684,160.32475
2028,78.938168,338.660687,482339.45826218993,-1100851.6211163052,157.6503,84743.77036105502,0.0519627,-0.05803340000000001,157.6503,157.95935
2029,78.938119,338.662276,482372.13783211954,-1100843.1493694829,155.2491,84777.53017125891,0.0273995,-0.0603125,155.2491,156.4497
2030,78.938071,338.6638700000001,482404.8694985622,-1100834.5344476574,153.3214,84811.3765723405,0.0046968,-0.0327012,153.3214,154.28525000000002
2031,78.938023,338.665463,482437.5818461298,-1100825.9269771338,151.3191,84845.20239431427,-0.0131156,-0.091445,151.3191,152.32025
2032,78.937976,338.667056,482470.2502118711,-1100817.218429653,149.8179,84879.01157826526,-0.0343764,-0.0394884,149.8179,150.5685
2033,78.93793000000002,338.6686509999999,482502.9130128586,-1100808.391966323,146.851,84912.84595461928,0.047432,-0.2001887,146.851,148.33445
2034,78.937885,338.670244,482535.4933894702,-1100799.4812746986,142.6554,84946.62289002464,0.0082152,-0.0791379,142.6554,144.7532
2035,78.93784000000002,338.671838,482568.09285613796,-1100790.561200262,138.7359,84980.42071473236,-0.059333,-0.1980215,138.7359,140.69565
2036,78.93779599999998,338.673435,482600.7059494636,-1100781.5147909494,134.9637,85014.26523242309,-0.0793913,-0.0856832,134.9637,136.8498
2037,78.937752,338.675031,482633.2997014316,-1100772.4758426421,130.7486,85048.08911827099,0.0138023,-0.1497965,130.7486,133.02224999999999
2038,78.937709,338.676629,482665.8878553108,-1100763.3189827392,125.7364,85081.93931556043,0.0135654,-0.1126765,125.7364,131.55805
2039,78.93766600000002,338.678226,482698.4566621864,-1100754.1695862787,125.2069,85115.76886827537,-0.0060012,-0.039196100000000005,125.2069,131.55805
2040,78.937624,338.679824,482731.00064716313,-1100744.9107049224,124.4786,85149.60432072009,0.028486200000000007,-0.0964726,124.4786,131.55805
2041,78.93758299999998,338.681423,482763.51980134076,-1100735.5423406176,123.3813,85183.4460351887,0.0117195,-0.0246003,123.3813,131.4764
2042,78.93754200000002,338.68302,482796.00038611214,-1100726.1898715748,121.3586,85217.24628761799,0.0238512,-0.0022375,121.6371,130.95905
2043,78.937501,338.68462,482828.5384581018,-1100716.811166467,121.5657,85251.10904353531,-0.0196403,0.0705122,121.5657,130.79295000000002
2044,78.93746,338.686221,482861.0955938661,-1100707.4230752115,121.6371,85284.99271728226,-0.048788,-0.1150614,121.3586,130.74795
2045,78.93741999999997,338.6878200000001,482893.5702478917,-1100697.950786899,119.09299999999999,85318.82062587782,-0.08708239999999999,-0.1067331,120.1923,130.6453
2046,78.93738,338.689421,482926.08317067596,-1100688.4606862292,118.652,85352.69026063671,-0.0583025,0.0621666,119.09299999999999,130.43329999999997
2047,78.937339,338.6910220000001,482958.6398584381,-1100679.06971926,120.1923,85386.57430081286,-0.0337869,-0.001221,118.652,130.2459
2048,78.937299,338.692623,482991.15247758577,-1100669.5777027288,116.7095,85420.44418096723,0.0240002,-0.1119731,118.1004,130.14875
2049,78.93726,338.694225,483023.64022983407,-1100659.9762099455,115.1481,85454.32105670591,-0.030467200000000007,0.07726110000000001,116.8182,130.0855
2050,78.93722,338.6958259999999,483056.15253946424,-1100650.4822794285,116.8182,85488.19117619419,-0.059427699999999986,-0.0261994,116.7399,130.02795
2051,78.93718,338.69743,483088.72232520906,-1100640.9620971289,116.7399,85522.12382735035,-0.06152290000000001,0.0447758,116.7095,130.02795
2052,78.937141,338.699032,483121.20960513677,-1100631.3577333079,118.1004,85556.00106397766,-0.026072900000000003,-0.0523808,116.5794,130.02795
2053,78.937101,338.700636,483153.77907969523,-1100621.8356319226,116.5794,85589.93395492145,-0.032360700000000006,-0.056415199999999985,115.5252,130.02795
2054,78.937062,338.70224,483186.30446206115,-1100612.212487351,115.5252,85623.8530558751,-0.040006900000000005,-0.0278587,115.3112,130.02795
2055,78.937023,338.703846,483218.8681026692,-1100602.5715169865,115.3112,85657.8139009649,-0.0441876,-0.003382,115.1481,130.02795
2056,78.936983,338.70545,483251.43710800906,-1100593.0465347506,114.5783,85691.7471500788,-0.0086424,-0.0351538,114.5783,130.02795
2057,78.936944,338.707054,483283.96201265656,-1100583.4205130034,113.6669,85725.6666093464,-0.0038949,-0.0085876,114.5783,130.02795
2058,78.93690500000002,338.70866,483316.52517445217,-1100573.77666206,113.5767,85759.62781319933,-0.0190423,0.005493199999999999,114.5783,130.02795
2059,78.93686600000002,338.710265,483349.0689669646,-1100564.1402866095,112.76899999999999,85793.56832237219,0.0017343,-0.0279224,114.5783,130.02795
2060,78.936826,338.711872,483381.69497020025,-1100554.5861536732,112.9787,85827.56446249572,-0.007805500000000002,0.0145525,114.5783,130.02795
2061,78.936787,338.713481,483414.31527665706,-1100544.9141083779,113.6964,85861.58846657403,-0.0040755,0.0013602,114.5783,130.02795
2062,78.936748,338.715085,483446.83938137995,-1100535.2832878341,112.0177,85895.50852100183,-0.0280972,-0.0229742,114.5783,130.02795
2063,78.936709,338.716693,483479.44015702617,-1100525.6177557982,112.0027,85929.5119485096,-0.07485499999999999,0.0319551,114.5783,130.02795
2064,78.93666999999998,338.718302,483512.05997866095,-1100515.9428220792,113.4977,85963.53630898769,-0.0625985,-0.028828500000000007,114.5783,130.02795
2065,78.936631,338.719909,483544.6412233797,-1100506.2838033051,112.2125,85997.5191598261,0.013193200000000002,-0.0697551,114.5783,130.02795
2066,78.936592,338.72152,483577.2991358995,-1100496.590062807,112.0993,86031.58538731017,0.0041158,0.0848737,114.5783,130.02795
2067,78.936553,338.723128,483609.899264326,-1100486.9206778454,113.6194,86065.58928971803,0.0017302,0.0056386000000000006,114.5783,130.02795
2068,78.936514,338.724739,483642.55685185536,-1100477.2250066195,113.7347,86099.65575510198,0.0396624,0.0149731,114.5783,130.02795
2069,78.936476,338.72635,483675.1702966437,-1100467.4283051165,114.9905,86133.70883339601,0.0189269,0.0490412,114.9905,130.02795
2070,78.936437,338.727961,483707.8275557447,-1100457.7307026896,116.8273,86167.77553362986,0.0195322,0.052821300000000015,116.8273,130.02795
2071,78.936399,338.729573,483740.4598728538,-1100447.9236295845,118.6104,86201.84967049051,0.0465077,0.0744793,118.6104,130.02795
2072,78.936361,338.731185,483773.092021111,-1100438.1155915896,120.3833,86235.9239233684,0.0523607,0.0425667,120.3833,130.02795
