ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW
79.06491199999999,336.710287,439469.2387065358,-1103760.5445825565,703.3651,130167.30364389067,-0.0054589,0.0035591
79.06504,336.70885400000003,439436.458928351,-1103758.5398654246,703.2619,130200.14466623502,-0.0033988,-0.0008847000000000001
79.065168,336.707423,439403.71805478353,-1103756.51886364,703.3214,130232.94785586918,-0.0026831999999999997,-0.0056834
79.06529599999999,336.70599100000004,439370.9582931971,-1103754.504586059,703.5191,130265.76948430797,-0.0013312,-0.008904299999999999
79.065424,336.704561,439338.23743606725,-1103752.474027289,703.8458,130298.55328610442,0.0013037,-0.0122174
79.065551,336.703131,439305.55736645276,-1103750.5440586486,704.3088,130331.29029465684,0.0015209000000000002,-0.0171674
79.065679,336.701702,439272.85652307834,-1103748.503947948,704.9327,130364.05471452151,0.0024798000000000003,-0.022502
79.06580699999999,336.70027400000004,439240.17531981156,-1103746.4552291501,705.7057,130396.80006985135,0.0037998000000000003,-0.025769599999999997
79.065934,336.698845,439207.51563240116,-1103744.5147713933,706.5573,130429.51735210478,0.0044919,-0.0267577
79.066062,336.697417,439174.83517875575,-1103742.4641715197,707.4836,130462.26207702822,0.0055963,-0.029937599999999998
79.06618900000001,336.695989,439142.19549992034,-1103740.514169079,708.4875,130494.95995377882,0.004867100000000001,-0.0314469
79.066317,336.694563,439109.5543237117,-1103738.4463609597,709.5161,130527.66656189859,0.004405399999999999,-0.0324672
79.06644399999999,336.69313700000004,439076.95391714905,-1103736.4791545565,710.6044,130560.3262680988,0.0048911,-0.035395300000000005
79.066572,336.691709,439044.27496285527,-1103734.424796167,711.7539,130593.06973221192,0.0045495,-0.0358343
79.066699,336.690283,439011.6753008606,-1103732.4557148223,712.8767,130625.72880818644,0.0049029,-0.0344397
79.066826,336.688858,438979.0952736137,-1103730.4780354667,713.994,130658.3688049855,0.0052401,-0.035492
79.066953,336.687434,438946.53488104517,-1103728.4917598208,715.1441,130690.98972549915,0.004438,-0.0363466
79.06708,336.686009,438913.9555957483,-1103726.5122105945,716.2738,130723.62909506403,0.0032413000000000003,-0.0348876
79.067207,336.68458300000003,438881.3574178566,-1103724.5393861025,717.366,130756.2869155415,0.003325,-0.034598800000000006
79.067334,336.683159,438848.7981382724,-1103722.5503065828,718.4131,130788.90689598868,0.003435,-0.0320792
79.06746,336.681737,438816.3181301848,-1103720.646523454,719.3672,130821.44265040709,0.0019557000000000003,-0.029147000000000003
79.067587,336.680312,438783.74032653315,-1103718.6632362464,720.2399,130854.08076798319,0.0015401,-0.027502099999999995
79.067714,336.67888999999997,438751.2206844844,-1103716.6560409584,721.0771,130886.66229575436,0.0017005,-0.0270147
79.067841,336.67746800000003,438718.7014133922,-1103714.647913969,721.8812,130919.24351068526,-0.0004891,-0.025961400000000003
79.06796700000001,336.676046,438686.22287651966,-1103712.7404072168,722.6637,130951.77801451413,-0.0009398,-0.026322
79.068095,336.674626,438653.70251093374,-1103710.6135530635,723.4177,130984.36785474743,-0.0014254,-0.0249765
79.06822199999999,336.673205,438621.2036161346,-1103708.5949768336,724.1398,131016.92937825543,-0.0026861,-0.025414199999999998
79.06835,336.671786,438588.7032632817,-1103706.4586056175,724.8792,131049.49987130563,-0.0025669,-0.02645
79.068477,336.670368,438556.26290276635,-1103704.415205817,725.5984,131082.00452440503,-0.0024099,-0.0240545
79.06860400000001,336.668948,438523.78438659746,-1103702.3861863236,726.2504,131114.54635798332,-0.0019932,-0.0222446
79.068731,336.667528,438491.30624142365,-1103700.3562375216,726.8406,131147.0878792457,-0.0017894999999999999,-0.0200229
79.06885799999999,336.666111,438458.88625678,-1103698.3024017748,727.4161,131179.5728549355,-0.0017107,-0.0206407
79.068985,336.664693,438426.44737983565,-1103696.2552921341,727.9806,131212.07626083845,-0.0032622,-0.0197527
79.06911099999999,336.663276,438394.06847745326,-1103694.3011648094,728.4673,131244.51407724293,-0.004482,-0.0172013
79.069238,336.661859,438361.6496029031,-1103692.24455189,728.9035,131276.9981207689,-0.0048217,-0.016656
79.069365,336.660442,438329.2310992594,-1103690.1870131458,729.3161,131309.48185276173,-0.0059495,-0.0159493
79.069491,336.659025,438296.85329953005,-1103688.2301122474,729.6934,131341.91873572604,-0.007084399999999999,-0.0149157
79.06961700000001,336.657607,438264.45660276397,-1103686.2799366685,729.9977,131374.37407652137,-0.008517100000000001,-0.0122731
79.069743,336.65619100000004,438232.0987978638,-1103684.3135389523,730.1973,131406.79157577618,-0.0101641,-0.0100035
79.06987,336.654775,438199.701033452,-1103682.2446519765,730.3369,131439.25533144618,-0.0101444,-0.0095652
79.069996,336.65335899999997,438167.3439629048,-1103680.2764079524,730.4767,131471.67220974952,-0.0102978,-0.0097168
79.070121,336.651943,438135.02757869946,-1103678.4088098232,730.6117,131504.04251421025,-0.0122701,-0.009758200000000002
79.070247,336.650525,438102.6327119986,-1103676.4540141767,730.6699,131536.49630620112,-0.013900999999999998,-0.0059471
79.07037199999999,336.64911,438070.3363150502,-1103674.5769268475,730.5956,131568.84720592108,-0.014814700000000002,-0.0032128
79.070497,336.647694,438038.021016307,-1103672.7065652125,730.5015,131601.21658629063,-0.0146042,-0.0045693999999999995
79.070623,336.646279,438005.68503097276,-1103670.7260658713,730.3751,131633.61316520223,-0.0152697,-0.0016311
79.070748,336.644863,437973.37045678776,-1103668.853862598,730.2102,131665.98192869197,-0.015760800000000002,-0.002376
79.07087299999999,336.643446,437941.0369810591,-1103666.9883822477,730.0335,131698.36917416964,-0.018227200000000002,-0.0021494
79.07099699999999,336.642032,437908.8019570156,-1103665.20062672,729.8289,131730.6537346423,-0.0196929,-0.0014653
79.07112099999999,336.640616,437876.5287638201,-1103663.4272396117,729.589,131762.97561424217,-0.0184909,-0.00024239999999999998
79.07124499999999,336.63920099999996,437844.2751892654,-1103661.6452920954,729.3302,131795.27837586575,-0.0177357,0.0003408
79.07136899999999,336.637784,437811.98344579653,-1103659.8777096546,729.0278,131827.61846003297,-0.020930200000000003,0.0016901
79.071492,336.636368,437779.7516137013,-1103658.203146105,728.7362,131859.89376271627,-0.021287999999999998,-0.0014864000000000001
79.07161500000001,336.634952,437747.5201327614,-1103656.52766597,728.4677,131892.16876228654,-0.0220268,0.0002543
79.071738,336.633534,437715.25047817925,-1103654.8665484122,728.1634,131924.48114255155,-0.0209308,0.0005135
79.071861,336.632119,437683.03896206775,-1103653.1815950181,727.9194,131956.73669770322,-0.017935299999999998,-0.0015377000000000001
79.07198299999999,336.630702,437650.82955502503,-1103651.612586283,727.7315,131988.9842974659,-0.0181551,-0.0021
79.07210500000001,336.629284,437618.6012319323,-1103650.0502997371,727.5243,132021.25046470997,-0.018584299999999998,-0.0010705
79.072227,336.627867,437586.3925174954,-1103648.4794590687,727.3809,132053.4974618738,-0.0170643,-0.0048055
79.072349,336.626448,437554.14562483755,-1103646.922976258,727.2915,132085.78189658816,-0.0184138,-0.0040419
79.072469,336.625029,437521.97962367005,-1103645.5687497214,727.1798,132117.97639240065,-0.0165206,-0.004601699999999999
79.07259,336.623611,437489.7929511279,-1103644.1043855152,727.1258,132150.19635906516,-0.016411900000000004,-0.0069537999999999996
79.072711,336.622191,437457.56809560495,-1103642.6543766768,727.1163,132182.45382082378,-0.0175745,-0.007636199999999999
79.07283100000001,336.620771,437425.3838465615,-1103641.3050408384,727.0648,132214.6663431357,-0.0202393,-0.0062731
79.072951,336.619352,437393.2191961841,-1103639.947156005,727.0306,132246.85964344992,-0.0194725,-0.009175
79.073071,336.61793,437360.9970959198,-1103638.611257437,727.0432,132279.109424386,-0.0184039,-0.0085067
79.07319,336.616509,437328.8348517803,-1103637.3684017342,727.1226,132311.29567359874,-0.015496700000000002,-0.011478200000000001
79.073309,336.615087,437296.65367714147,-1103636.1322641359,727.2081,132343.50058063632,-0.0168804,-0.008609700000000001
79.073427,336.613667,437264.55161058647,-1103634.9815427703,727.25,132375.62326478263,-0.017991,-0.0096206
79.073546,336.612244,437232.3518346627,-1103633.7512078958,727.351,132407.84653732658,-0.016345600000000002,-0.0121696
79.07366400000001,336.61082200000004,437200.2118997566,-1103632.613922946,727.5082,132440.00658758814,-0.014803100000000001,-0.01217
79.07378299999999,336.6094,437168.03204680054,-1103631.3741268879,727.709,132472.21031455477,-0.013974799999999999,-0.013248
79.0739,336.607978,437135.9330099788,-1103630.3366132805,727.9233,132504.32611439488,-0.0140808,-0.0134404
79.07401899999999,336.60655499999996,437103.73455354193,-1103629.102617678,728.1672,132536.54820839982,-0.0120602,-0.0151032
79.074136,336.60513199999997,437071.6169032051,-1103628.0709073595,728.4658,132568.68242519966,-0.0109241,-0.0158839
