,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,ATM_elev_Sm,ATM_elev_SupSm
3174,78.91984000000002,340.208383,512749.7512515522,-1089234.9941308412,28.2266,117534.50239318679,28.2579,28.34405
3175,78.919873,340.2098640000001,512776.3695988997,-1089218.476522926,28.2289,117565.82918342703,28.2579,28.3509
3176,78.919907,340.2113470000001,512802.9788957207,-1089201.8414732954,28.2077,117597.21038087904,28.2579,28.3584
3177,78.91994100000002,340.21283,512829.5876750217,-1089185.205776094,28.1936,117628.59148279188,28.2579,28.3661
3178,78.919974,340.214313,512856.2425015146,-1089168.66832229,30.2334,117659.95973351912,30.2334,29.29735
3179,78.920007,340.215796,512882.8968155728,-1089152.1302185259,34.5923,117691.32789148265,34.5923,32.41285
3180,78.92004,340.217278,512909.5316081735,-1089135.600416781,38.597,117722.67508470007,38.597,36.31655
3181,78.920073,340.2187600000001,512936.1658888881,-1089119.0699660378,39.7526,117754.02218521926,39.7526,38.0831
3182,78.920106,340.220244,512962.8376745414,-1089102.520960534,40.3832,117785.41093691625,40.0506,38.2215
3183,78.920138,340.221727,512989.53651649476,-1089086.0791424515,40.4351,117816.76634384252,40.2015,38.33005
3184,78.92017,340.22321,513016.2348510435,-1089069.6366720684,40.2015,117848.12166077556,40.2495,38.33005
3185,78.920201,340.224693,513042.97926080134,-1089053.292431868,40.0506,117879.46488398276,40.3832,38.33005
3186,78.920232,340.226177,513069.7421755208,-1089036.9385822194,40.2495,117910.828908001,40.4351,38.469750000000005
3187,78.920264,340.22766,513096.4389925978,-1089020.4941521315,40.6577,117942.18396059149,40.5992,38.7083
3188,78.920294,340.229144,513123.2474895147,-1089004.2378717915,40.9061,117973.53618790374,40.6522,38.8251
3189,78.920324,340.230629,513150.07449503615,-1088987.9719772865,40.8763,118004.9092264767,40.6577,38.8908
3190,78.920354,340.232111,513176.8439837253,-1088971.7322937336,40.6522,118036.21949390731,40.8763,39.147549999999995
3191,78.920383,340.233598,513203.7546029672,-1088955.5460438095,40.5992,118067.62293503375,40.9061,39.4045
3192,78.920411,340.2350830000001,513230.6733171483,-1088939.4759198064,40.9868,118098.97362974127,40.9868,39.5553
3193,78.920439,340.236569,513257.6105484164,-1088923.396174034,41.5506,118130.34515588352,41.5506,39.6494
3194,78.920466,340.238053,513284.5558865162,-1088907.4325521828,41.9247,118161.66429488706,41.9247,39.668350000000004
3195,78.92049300000002,340.239538,513311.5197467961,-1088891.4593061672,41.9904,118193.004274936,41.9422,39.7181
3196,78.920519,340.2410240000001,513338.54873918026,-1088875.5753037315,41.9422,118224.35500001012,41.9904,39.79975
3197,78.92054499999998,340.242509,513365.5582487901,-1088859.699591749,42.1054,118255.68472775095,41.9904,39.87505
3198,78.92057,340.2439950000001,513392.63290016155,-1088843.91311758,42.578,118287.0255878794,41.9904,39.957300000000004
3199,78.92059499999998,340.245481,513419.70707803534,-1088828.1259715485,43.1259,118318.36637739338,41.9904,40.031000000000006
3200,78.92061899999999,340.246967,513446.8274034248,-1088812.437017952,43.4716,118349.69775645937,41.9904,40.126050000000006
3201,78.920642,340.248453,513473.993883997,-1088796.8462531685,43.4569,118381.02010651836,41.9904,40.21615
3202,78.920664,340.24994,513501.22553024633,-1088781.3447112874,43.1161,118412.35475759565,42.0107,40.24015
3203,78.920686,340.251427,513528.45671776397,-1088765.8424893674,42.826,118443.68934644065,42.1054,40.28445
3204,78.92070799999998,340.252913,513555.6684442565,-1088750.348550661,42.8728,118475.00292489055,42.3143,40.3513
3205,78.92072900000002,340.254401,513582.9643503854,-1088734.9348636873,43.0758,118506.35014546145,42.578,40.40915
3206,78.920749,340.255889,513610.30643873883,-1088719.6193503444,43.1523,118537.68949364356,42.6444,40.43755
3207,78.92076899999998,340.257377,513637.64807801455,-1088704.3031512077,42.9174,118569.02878518445,42.6444,40.5196
3208,78.920788,340.258864,513665.0169085289,-1088689.094086013,42.3143,118600.3396227302,42.6444,40.6257
3209,78.920806,340.2603529999999,513692.46994159033,-1088673.9652556968,41.2187,118631.68528480662,42.6444,40.65495
3210,78.920825,340.261842,513719.8758885833,-1088658.7368816577,39.6531,118663.03794508375,42.6444,40.7453
3211,78.92084200000002,340.263331,513747.3746895193,-1088643.705520359,38.0408,118694.37683267426,42.6444,40.8471
3212,78.920859,340.264819,513774.8540560094,-1088628.6824321505,38.3176,118725.69469917279,42.3143,40.8679
3213,78.920875,340.266309,513802.417642879,-1088613.739564353,40.3194,118757.04817775385,42.1775,40.8754
3214,78.920891,340.267799,513829.9808000347,-1088598.7959992134,42.0107,118788.40161092268,42.0107,40.8912
3215,78.920906,340.269287,513857.5521882285,-1088583.968519828,42.9276,118819.70713107252,41.6121,40.907700000000006
3216,78.92092,340.270778,513885.22681228217,-1088569.2122805135,43.2414,118851.0700297782,41.2187,40.933400000000006
3217,78.920934,340.272265,513912.8250208915,-1088554.491215948,43.0561,118882.34895016215,40.9575,40.96555
3218,78.920947,340.273755,513940.5264745669,-1088539.8413846872,42.6444,118913.68563938893,40.3194,40.980199999999996
3219,78.92096,340.275244,513968.2085155057,-1088525.1998192878,42.1775,118945.00130364651,40.2308,41.0206
3220,78.92097199999998,340.2767330000001,513995.9368149077,-1088510.656390286,41.6121,118976.31216302224,40.0114,41.13195
3221,78.92098299999998,340.278222,514023.71138046007,-1088496.2110940495,40.9575,119007.61860125765,39.9032,41.2141
3222,78.920994,340.279713,514051.523537534,-1088481.7471455934,40.2308,119038.9669965283,39.6836,41.38465
3223,78.92100400000002,340.2812009999999,514079.3249779668,-1088467.408240256,39.6836,119070.24836952273,39.6836,41.58135
3224,78.921014,340.28269,514107.1450174356,-1088453.0596521844,39.4649,119101.55071089989,39.8469,41.7684
3225,78.92102299999998,340.284179,514135.0113435232,-1088438.8091872062,38.951,119132.84939907867,39.9032,41.93345
3226,78.921031,340.285669,514162.9429605106,-1088424.6478678477,38.1254,119164.16581958788,39.9032,41.966300000000004
3227,78.92103900000002,340.2871580000001,514190.8551923142,-1088410.494806166,38.3425,119195.46121604198,39.9032,42.000550000000004
3228,78.92104599999998,340.288646,514218.79473255883,-1088396.4488339215,39.3441,119226.73272456616,39.9032,42.05315
3229,78.921052,340.290135,514246.799581374,-1088382.4919983393,39.9032,119258.0227360175,39.9032,42.1005
3230,78.921058,340.291625,514274.823047679,-1088368.5254664721,40.0114,119289.33373530135,39.9032,42.141450000000006
3231,78.921064,340.293114,514302.8271399797,-1088354.567189418,39.6457,119320.62371267266,39.9032,42.245900000000006
3232,78.92106899999997,340.294603,514330.87755729357,-1088340.70701731,38.8306,119351.91157425428,39.9032,42.44615
3233,78.92107299999998,340.296091,514358.955312413,-1088326.9539237707,37.7914,119383.17669722615,39.9032,42.6112
3234,78.921077,340.29758,514387.05169473187,-1088313.1911281506,37.6781,119414.4628162358,39.9032,42.7352
