,dist_along,ATM_elev,idx_ATM,z_ATL06,t_ATL06,idx_ATL06,gt_ATL06,slope_ATM,slope_ATL06,residuals
167,70087.97720977993,27.0319,2038.0,30.119713,2019-02-13 23:46:06,424890.0,gt3l,-4.082511229186722e-05,0.015706606937798295,3.0878130000000006
168,70152.88823760647,27.02925,2040.0,31.13924500000001,2019-02-13 23:46:06,428679.0,gt3r,,,4.1099950000000085
169,46456.88944360077,38.33215,1359.0,35.50140550000001,2019-02-15 10:09:55,1576.0,gt1l,0.0023824298181226397,0.02181151832205739,-2.8307444999999873
170,46391.93474952212,38.1774,1357.0,34.084644999999995,2019-02-15 10:09:55,4931.0,gt1r,,,-4.092755000000004
171,79816.9130772509,124.79955,2333.0,95.87926,2019-02-17 23:37:46,146166.0,gt1l,0.00825880885565385,0.015068606208979925,-28.920289999999994
172,79884.99190191277,125.3618,2335.0,96.905113,2019-02-17 23:37:46,150060.0,gt1r,,,-28.456687000000002
173,83016.94592534503,138.2013,2427.0,111.23991,2019-02-17 23:37:46,153999.0,gt2l,0.0,0.012419686015328469,-26.96139000000001
174,83085.17430076082,138.2013,2429.0,112.08728500000001,2019-02-17 23:37:46,157948.0,gt2r,,,-26.114014999999995
175,86190.68361176865,130.02795,2520.0,100.608815,2019-02-17 23:37:46,161878.0,gt3l,0.0,-0.0220668060536568,-29.419134999999997
176,86292.36361904039,130.02795,2523.0,98.365062,2019-02-17 23:37:46,165795.0,gt3r,,,-31.66288800000001
177,62710.328727557724,27.0691,1830.0,28.824031,2019-02-19 10:01:34,570845.0,gt1l,-1.7790367823209154e-05,0.00035666129411949084,1.7549310000000027
178,62611.96089068151,27.07085,1827.0,28.788947,2019-02-19 10:01:34,574757.0,gt1r,,,1.7180970000000002
179,59471.04830251969,27.0993,1732.0,28.207432,2019-02-19 10:01:34,578726.0,gt2l,-0.0,4.459615641078505e-05,1.1081320000000012
180,59405.00000963832,27.0993,1730.0,28.2044865,2019-02-19 10:01:34,582689.0,gt2r,,,1.105186500000002
181,56253.83465142438,27.21215,1634.0,28.31619,2019-02-19 10:01:34,586663.0,gt3l,-1.1127187613500123e-05,0.00013177119040692952,1.1040399999999977
182,56154.97768610613,27.21325,1631.0,28.3031635,2019-02-19 10:01:34,590579.0,gt3r,,,1.0899135000000015
183,79476.32016454714,123.92075,2323.0,93.1130325,2019-02-23 09:53:16,671953.0,gt1l,0.006055969258111213,0.09922536796333006,-30.807717499999995
184,79408.2055519362,123.50825,2321.0,86.35433499999998,2019-02-23 09:53:16,675852.0,gt1r,,,-37.153915000000026
185,76094.68801149049,94.2139,2222.0,82.01445749999998,2019-02-23 09:53:16,679715.0,gt2l,0.006455252682487572,0.02908729082234556,-12.199442500000018
186,76029.1057607525,93.79055,2220.0,80.1068475,2019-02-23 09:53:16,683572.0,gt2r,,,-13.683702499999995
187,72786.57024525803,27.3634,2121.0,32.3798965,2019-02-23 09:53:16,687446.0,gt3l,0.00393886479482896,-0.035879209525838465,5.016496500000002
188,72721.09452739674,27.1055,2119.0,34.729113500000004,2019-02-23 09:53:16,691356.0,gt3r,,0.0,7.623613500000005
